address,city,emergency_services,industry,name,ownership,phone,source,state,type,zip
1801 16TH ST,,Yes,Healthcare,BANNER NORTH COLORADO MEDICAL CENTER,Voluntary non-profit - Private,,CMS Hospital Compare,CO,Acute Care Hospitals,80631
1950 MOUNTAIN VIEW AVE,,Yes,Healthcare,LONGMONT UNITED HOSPITAL,Voluntary non-profit - Private,,CMS Hospital Compare,CO,Acute Care Hospitals,80501
1600 PRAIRIE CENTER PKWY,,Yes,Healthcare,INTERMOUNTAIN HEALTH PLATTE VALLEY HOSPITAL,Voluntary non-profit - Private,,CMS Hospital Compare,CO,Acute Care Hospitals,80601
800 S 3RD ST,,Yes,Healthcare,MONTROSE REGIONAL HEALTH,Voluntary non-profit - Private,,CMS Hospital Compare,CO,Acute Care Hospitals,81401
106 BLANCA AVE,,Yes,Healthcare,SAN LUIS VALLEY REGIONAL  MEDICAL CENTER,Voluntary non-profit - Private,,CMS Hospital Compare,CO,Acute Care Hospitals,81101
8300 W 38TH AVE,,Yes,Healthcare,LUTHERAN MEDICAL CENTER,Voluntary non-profit - Private,,CMS Hospital Compare,CO,Acute Care Hospitals,80033
1024 S LEMAY AVE,,Yes,Healthcare,POUDRE VALLEY HOSPITAL,Voluntary non-profit - Private,,CMS Hospital Compare,CO,Acute Care Hospitals,80524
777 BANNOCK ST,,Yes,Healthcare,DENVER HEALTH & HOSPITAL AUTHORITY,Government - State,,CMS Hospital Compare,CO,Acute Care Hospitals,80204
1008 MINNEQUA AVE,,Yes,Healthcare,"ST MARY CORWIN MED CTR, CENTURA HEALTH",Voluntary non-profit - Church,,CMS Hospital Compare,CO,Acute Care Hospitals,81004
1010 THREE SPRINGS BLVD,,Yes,Healthcare,MERCY REGIONAL MEDICAL CENTER,Voluntary non-profit - Church,,CMS Hospital Compare,CO,Acute Care Hospitals,81301
1719 E 19TH AVE,,Yes,Healthcare,HCA HEALTHONE PRESBYTERIAN ST LUKES,Government - State,,CMS Hospital Compare,CO,Acute Care Hospitals,80218
