address,assets,cert_number,charter_class,city,industry,name,phone,source,state,zip
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
,,,,,Banking,,,FDIC BankFind,,
